0001_0001 | UNCAT | wall street climbs percent as bernanke comments support - http://news.yahoo.com/rss/stock-markets 
0001_0002 | UNCAT | nigeria to raise pension fund stock market limit - http://news.yahoo.com/rss/stock-markets 
0001_0003 | UNCAT | wall street rallies after bernanke comments - http://news.yahoo.com/rss/stock-markets 
0001_0004 | UNCAT | us stock futures rise to begin the week - http://news.yahoo.com/rss/stock-markets 
0001_0005 | UNCAT | lastminute shopping could lift stocks - http://news.yahoo.com/rss/stock-markets 
0001_0006 | UNCAT | bay streeta cautious take on rallying canada insurers - http://news.yahoo.com/rss/stock-markets 
0001_0007 | UNCAT | wall street week ahead lastminute shopping could lift stocks - http://news.yahoo.com/rss/stock-markets 
0001_0008 | UNCAT | apples devoted shareholders get rich and hang on - http://news.yahoo.com/rss/stock-markets 
0001_0009 | UNCAT | pepsico ceo compensation up percent to 17 million - http://news.yahoo.com/rss/stock-markets 
0001_0010 | UNCAT | bats cancels its ipo following technical glitches - http://news.yahoo.com/rss/stock-markets 
0001_0011 | UNCAT | wall street week ahead lastminute shopping could lift stocks - http://news.yahoo.com/rss/stock-markets 
0001_0012 | UNCAT | earnings schedule for week of 3262012 - http://news.yahoo.com/rss/stock-markets 
0001_0013 | UNCAT | bats withdraws ipo after technical glitches - http://news.yahoo.com/rss/stock-markets 
0001_0014 | UNCAT | bats halts orders after stock plummets to cents - http://news.yahoo.com/rss/stock-markets 
0001_0015 | UNCAT | safrica stocks end flat eyes on mpc next week - http://news.yahoo.com/rss/stock-markets 
0001_0016 | UNCAT | world stocks mixed ahead of us housing data - http://news.yahoo.com/rss/stock-markets 
0001_0017 | UNCAT | securities watchdog probes highfrequency trading firms report - http://news.yahoo.com/rss/stock-markets 
0001_0018 | UNCAT | layne says probe finds evidence of improper payments - http://news.yahoo.com/rss/stock-markets 
0001_0019 | UNCAT | amcs mad man sees future in staying on script - http://news.yahoo.com/rss/stock-markets 
0001_0020 | UNCAT | morgan stanley directors win pay lawsuit dismissal - http://news.yahoo.com/rss/stock-markets 
0001_0021 | UNCAT | wall street retreats but bull market still alive - http://news.yahoo.com/rss/stock-markets 
0001_0022 | UNCAT | wall streets face in washington to step down - http://news.yahoo.com/rss/stock-markets 
0001_0023 | UNCAT | insightthe wall street gold rush in foreclosed homes - http://news.yahoo.com/rss/stock-markets 
0001_0024 | UNCAT | exacttarget rises in 1st day trading on the nyse - http://news.yahoo.com/rss/stock-markets 
0001_0025 | UNCAT | nyse euronext wont fight deutsche boerse ruling - http://news.yahoo.com/rss/stock-markets 
0002_0001 | UNCAT | ansi to host exploratory meeting for energy efficiency standards panel to support clean energy economy - http://news.yahoo.com/rss/energy 
0002_0002 | UNCAT | salt lake community college inherits the wind - http://news.yahoo.com/rss/energy 
0002_0003 | UNCAT | gas prices already closing in on last years high - http://news.yahoo.com/rss/energy 
0002_0004 | UNCAT | mass gas prices up another cents - http://news.yahoo.com/rss/energy 
0002_0005 | UNCAT | aaa mich gas prices up about cent in past week - http://news.yahoo.com/rss/energy 
0002_0006 | UNCAT | maine gas prices up cents - http://news.yahoo.com/rss/energy 
0002_0007 | UNCAT | aaa ohio gas prices drop after weeks of jumps - http://news.yahoo.com/rss/energy 
0002_0008 | UNCAT | new hampshire gas prices climbing - http://news.yahoo.com/rss/energy 
0002_0009 | UNCAT | york regions innovation centre venturelab looks to meet local technology entrepreneurs - http://news.yahoo.com/rss/energy 
0002_0010 | UNCAT | california iso recognized by computerworld as 2012 computerworld honors laureate - http://news.yahoo.com/rss/energy 
