
0001_0001 | markets | mkt_idx | sp 500 ends best week in months - http://news.yahoo.com/rss/stock-markets 
0001_0002 | markets | goldman | under fire goldman finds friend in new yorks mayor - http://news.yahoo.com/rss/stock-markets 
0001_0003 | markets | goldman | under fire goldman finds friend in new yorks mayor - http://news.yahoo.com/rss/stock-markets 
0001_0004 | markets | mkt_idx | stocks correction coming not that again - http://news.yahoo.com/rss/stock-markets 
0001_0005 | markets | mkt_idx | how the major stock indexes fared on friday - http://news.yahoo.com/rss/stock-markets 
0001_0006 | markets | mkt_idx | us stocks waver then end the day mixed - http://news.yahoo.com/rss/stock-markets 
0001_0007 | markets | mkt_idx | sp 500 ends best week since december with quiet day - http://news.yahoo.com/rss/stock-markets 
0001_0008 | markets | stocks  | analysts worry that somethings amiss at oracle - http://news.yahoo.com/rss/stock-markets 
0001_0009 | markets | occupy  | summary box what has occupy achieved in months - http://news.yahoo.com/rss/stock-markets 
0001_0010 | markets | occupy  | months later what has occupy protest achieved - http://news.yahoo.com/rss/stock-markets 
0001_0011 | markets | goldman | in europe goldman letter deepens banks trust deficit - http://news.yahoo.com/rss/stock-markets 
0001_0012 | markets | banks   | banks eye aig toxic assets held by ny fed wsj - http://news.yahoo.com/rss/stock-markets 
0001_0013 | markets | mkt_idx | stock index futures signal flat wall street open - http://news.yahoo.com/rss/stock-markets 
0001_0014 | markets | mkt_idx | stock index futures signal flat wall street open - http://news.yahoo.com/rss/stock-markets 
0001_0015 | markets | mkt_idx | sp 500 ends above 1400 for first time - http://news.yahoo.com/rss/stock-markets 
0001_0016 | markets | goldman | european client pans goldman slowness to reassure clients - http://news.yahoo.com/rss/stock-markets 
0001_0017 | markets | goldman | explosive goldman exit fuels volcker rule push - http://news.yahoo.com/rss/stock-markets 
0001_0018 | markets | oil     | releasing oil reserves worth looking at cameron - http://news.yahoo.com/rss/stock-markets 
0001_0019 | markets | goldman | sp tops 1400 in first since 2008 crude oil dips - http://news.yahoo.com/rss/stock-markets 
0001_0020 | markets | mkt_idx | sp ends over 1400 for first time since 2008 credit crisis - http://news.yahoo.com/rss/stock-markets 
0001_0021 | markets | mkt_idx | summary box sp over 1400 first time since 2008 - http://news.yahoo.com/rss/stock-markets 
0001_0022 | markets | europe  | sp keeps greece rating at selective default - http://news.yahoo.com/rss/stock-markets 
0001_0023 | markets | europe  | sp keeps greece rating at selective default - http://news.yahoo.com/rss/stock-markets 
0001_0024 | markets | goldman | departing goldman banker slams ripoff culture - http://news.yahoo.com/rss/stock-markets 
0001_0025 | markets | goldman | analysis goldman top brass takes another knock - http://news.yahoo.com/rss/stock-markets 

0002_0001 | energy | oil      | kurds say exxon still working in north iraq - http://news.yahoo.com/rss/energy 
0002_0002 | energy | gas      | obamas weekly address no quick fixes to lower gas prices - http://news.yahoo.com/rss/energy 
0002_0003 | energy | politics | pm note clooney day alternamitt on to puerto rico illinois santorums war on porn - http://news.yahoo.com/rss/energy 
0002_0004 | energy | gas      | higher gas prices threaten economy if they persist - http://news.yahoo.com/rss/energy 
0002_0005 | energy | gas      | gas prices still climbing top in states - http://news.yahoo.com/rss/energy 
